학교구분,학교명,본분교,지역,주소,geometry
대학,광주대학교,본교,광주,"광주광역시 남구 효덕로 277 (진월동, 광주대학교) ",[126.89616993457 35.1059036523963]
대학,화성의과학대학교,본교,경기,경기도 화성시 남양읍 남양중앙로 400-5 ,[126.83953419795 37.2027515359928]
대학,동명대학교,본교,부산,"부산광역시 남구 신선로 428 (용당동, 동명대학교) ",[129.101380307339 35.1246904251562]
대학,영산대학교,본교,경남,경상남도 양산시 주남로 288 (주남동) 영산대학교 양산캠퍼스,[129.144634800956 35.4283933160763]
대학,영산대학교,제2캠퍼스,부산,부산광역시 해운대구 반송순환로 142 (반송동) 영산대학교 해운대캠퍼스,[129.159064651628 35.2241543257141]
대학,대전신학대학교,본교,대전,"대전광역시 대덕구 한남로 41 (오정동, 대전신학대학교) ",[127.424015937587 36.3495481063766]
대학,중원대학교,본교,충북,"충청북도 괴산군 괴산읍 문무로 85 (동부리, 중원대학교) ",[127.798493849973 36.8191551494983]
대학,우송대학교,본교,대전,"대전광역시 동구 동대전로 171 (자양동, 우송정보대학) ",[127.44573302632 36.335693548807]
대학,김천대학교,본교,경북,"경상북도 김천시 대학로 214 (삼락동, 김천대학교) ",[128.081714980163 36.1399448069941]
대학,송원대학교,본교,광주,"광주광역시 남구 송암로 73 (송하동, 송원대학) ",[126.873266442573 35.1081845052901]
대학,경운대학교,본교,경북,"경상북도 구미시 산동면 강동로 730 (인덕리, 경운대학교) ",[128.468071167161 36.1716993571929]
대학,남서울대학교,본교,충남,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교) ",[127.143619452225 36.9109137342107]
대학,초당대학교,본교,전남,"전라남도 무안군 무안읍 무안로 380 (성남리, 초당대학교) ",[126.470266451147 34.980047336493]
대학,한국공학대학교,본교,경기,"경기도 시흥시 산기대학로 237 (정왕동, 한국산업기술대학교) ",[126.733539352474 37.339732743931]
대학,제주국제대학교,본교,제주,제주특별자치도 제주시 516로 2870 (영평동) ,[126.569831091366 33.4427732522923]
대학,창신대학교,본교,경남,"경상남도 창원시 마산회원구 팔용로 262 (합성동, 창신대학) ",[128.599596124773 35.2446928950772]
대학,울산과학기술원,본교,울산,"울산광역시 울주군 언양읍 유니스트길 50 (반연리, 울산과학기술원) ",[129.187618949573 35.5773071411833]
대학,공주교육대학교,본교,충남,"충청남도 공주시 웅진로 27 (봉황동, 공주교육대학교) ",[127.119655178765 36.4452038483364]
대학,광주교육대학교,본교,광주,"광주광역시 북구 필문대로 55 (풍향동, 광주교육대학교) ",[126.925730100694 35.1647069458086]
대학,대구교육대학교,본교,대구,"대구광역시 남구 중앙대로 219 (대명동, 대구교육대학교) ",[128.587739242975 35.8514315842476]
대학,부산교육대학교,본교,부산,"부산광역시 연제구 교대로 24 (거제동, 부산교육대학교) 교무처",[129.077082516289 35.195693209948]
대학,서울교육대학교,본교,서울,"서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교) ",[127.015424537648 37.4907404857731]
